"AdvisoryNumber","Date","Lat","Long","Wind","Pres","Movement","Type","Name","Received","Forecaster"
"1A","08/17/2017 14:00","13.1","54.1","35","1007","W at 17 MPH (270 deg)","Potential Tropical Cyclone","Nine","08/17/2017 13:53","Beven"
"2","08/17/2017 17:00","13.0","55.8","40","1004","W at 18 MPH (270 deg)","Tropical Storm","Harvey","08/17/2017 16:50","Beven"
"2A","08/17/2017 20:00","12.9","56.5","40","1005","W at 18 MPH (270 deg)","Tropical Storm","Harvey","08/17/2017 19:53","Pasch"
"3","08/17/2017 23:00","13.0","57.4","40","1005","W at 18 MPH (270 deg)","Tropical Storm","Harvey","08/17/2017 22:32","Pasch"
"3A","08/18/2017 02:00","13.0","58.1","40","1005","W at 17 MPH (270 deg)","Tropical Storm","Harvey","08/18/2017 01:41","Avila"
"4","08/18/2017 05:00","13.1","59.1","40","1004","W at 18 MPH (270 deg)","Tropical Storm","Harvey","08/18/2017 04:44","Avila"
"4A","08/18/2017 08:00","13.0","60.3","40","1005","W at 18 MPH (270 deg)","Tropical Storm","Harvey","08/18/2017 07:53","Beven"
"5","08/18/2017 11:00","13.1","61.3","40","1005","W at 21 MPH (270 deg)","Tropical Storm","Harvey","08/18/2017 10:50","Beven"
"5A","08/18/2017 14:00","13.2","62.1","40","1005","W at 21 MPH (275 deg)","Tropical Storm","Harvey","08/18/2017 13:50","Beven"
"6","08/18/2017 17:00","13.4","62.9","40","1005","W at 21 MPH (275 deg)","Tropical Storm","Harvey","08/18/2017 16:38","Beven"
"7","08/18/2017 23:00","13.7","64.1","40","1005","W at 18 MPH (275 deg)","Tropical Storm","Harvey","08/18/2017 22:35","Berg"
"8","08/19/2017 05:00","13.8","65.9","40","1005","W at 21 MPH (275 deg)","Tropical Storm","Harvey","08/19/2017 04:44","Blake"
"9","08/19/2017 11:00","13.9","68.1","40","1007","W at 22 MPH (275 deg)","Tropical Storm","Harvey","08/19/2017 10:50","Beven"
"10","08/19/2017 17:00","14.1","70.0","35","1007","W at 22 MPH (275 deg)","Tropical Depression","HARVEY","08/19/2017 16:35","Beven"
"11","08/19/2017 23:00","14.3","71.8","35","1007","W at 22 MPH (275 deg)","Remnants","Harvey","08/19/2017 22:35","Berg"
"12","08/23/2017 11:00","21.5","92.5","35","1006","NW at 9 MPH (310 deg)","Tropical Depression","HARVEY","08/23/2017 22:35","Blake"
"12A","08/23/2017 14:00","21.5","92.5","35","1005","Stationary","Tropical Depression","HARVEY","08/23/2017 13:36","Pasch"
"13","08/23/2017 17:00","21.6","92.6","35","1005","NW at 2 MPH (320 deg)","Tropical Depression","HARVEY","08/23/2017 16:41","Pasch"
"13A","08/23/2017 20:00","21.7","92.5","35","1003","NW at 2 MPH (320 deg)","Tropical Depression","HARVEY","08/23/2017 19:56","Beven"
"14","08/23/2017 23:00","21.9","92.6","35","1002","NW at 2 MPH (325 deg)","Tropical Depression","HARVEY","08/23/2017 22:42","Beven"
"14S","08/24/2017 00:00","22.0","92.6","40","1002","NW at 2 MPH (325 deg)","Tropical Storm","Harvey","08/24/2017 00:20","Avila/zelinsky"
"14A","08/24/2017 02:00","22.6","92.6","45","1001","NW at 7 MPH (325 deg)","Tropical Storm","Harvey","08/24/2017 01:44","Avila"
"15","08/24/2017 05:00","23.2","92.8","45","995","N at 10 MPH (360 deg)","Tropical Storm","Harvey","08/24/2017 04:59","Avila/zelinsky"
"15A","08/24/2017 08:00","23.8","93.0","60","986","NNW at 10 MPH (345 deg)","Tropical Storm","Harvey","08/24/2017 07:50","Berg"
"16","08/24/2017 11:00","24.0","93.3","65","982","NNW at 10 MPH (340 deg)","Tropical Storm","Harvey","08/24/2017 10:56","Berg"
"17","08/24/2017 14:00","24.4","93.6","85","979","NNW at 10 MPH (335 deg)","Hurricane","Harvey","08/24/2017 13:52","Berg"
"18","08/24/2017 17:00","24.7","93.9","85","976","NNW at 10 MPH (330 deg)","Hurricane","Harvey","08/24/2017 16:51","Berg"
"18A","08/24/2017 20:00","25.0","94.3","85","974","NW at 10 MPH (325 deg)","Hurricane","Harvey","08/24/2017 20:02","Beven"
"19","08/24/2017 23:00","25.2","94.6","85","973","NW at 10 MPH (315 deg)","Hurricane","Harvey","08/24/2017 22:37","Beven"
