"AdvisoryNumber","Date","Lat","Long","Wind","Pres","Movement","Type","Name","Received","Forecaster"
"1","09/07/2018 17:00","13.6","34.9","35","1007","Stationary","Tropical Depression","NINE","09/07/2018 16:45","Cangialosi"
"22","09/07/2018 17:00","35.8","92.3","10","1012","N at 7 MPH (360 deg)","Tropical Depression","GORDON","09/07/2018 16:57","Hurley/otto"
"1...CORREC","09/07/2018 17:00","13.6","34.9","35","1007","Stationary","Tropical Depression","NINE","09/07/2018 16:59","Cangialosi"
"2","09/07/2018 23:00","13.9","34.9","35","1007","Stationary","Tropical Depression","NINE","09/07/2018 22:56","Roberts"
"23","09/07/2018 23:00","36.2","92.3","10","1012","NNE at 8 MPH (30 deg)","Remnants","Gordon","09/07/2018 22:57","Hurley"
"3","09/08/2018 05:00","14.3","35.4","35","1007","WNW at 5 MPH (300 deg)","Tropical Depression","NINE","09/08/2018 04:56","Stewart"
"4","09/08/2018 11:00","14.6","36.0","35","1007","WNW at 6 MPH (300 deg)","Tropical Depression","NINE","09/08/2018 10:56","Beven"
"5","09/08/2018 17:00","14.5","36.6","40","1005","W at 7 MPH (275 deg)","Tropical Storm","Isaac","09/08/2018 16:50","Beven"
"6","09/08/2018 23:00","14.4","37.5","50","1002","W at 8 MPH (270 deg)","Tropical Storm","Isaac","09/08/2018 22:44","Cangialosi"
"7","09/09/2018 05:00","14.5","38.1","50","1001","W at 9 MPH (270 deg)","Tropical Storm","Isaac","09/09/2018 04:41","Cangialosi"
"8","09/09/2018 11:00","14.3","39.1","65","999","W at 9 MPH (270 deg)","Tropical Storm","Isaac","09/09/2018 10:32","Berg"
"9","09/09/2018 17:00","14.5","40.3","70","997","W at 12 MPH (275 deg)","Tropical Storm","Isaac","09/09/2018 16:32","Berg"
"10","09/09/2018 23:00","14.5","41.6","75","993","W at 14 MPH (275 deg)","Hurricane","Isaac","09/09/2018 22:53","Zelinsky"
"11","09/10/2018 05:00","14.7","42.7","75","993","W at 13 MPH (275 deg)","Hurricane","Isaac","09/10/2018 04:41","Cangialosi"
"12","09/10/2018 11:00","14.7","43.9","75","993","W at 14 MPH (275 deg)","Hurricane","Isaac","09/10/2018 10:38","Pasch"
"13","09/10/2018 17:00","14.4","45.0","75","993","W at 14 MPH (270 deg)","Hurricane","Isaac","09/10/2018 16:32","Pasch"
